Date ,Door TO Door,GARDEN/Biomass,PRIVATE Vehicle,TOTAL,DEBRIS C&D Waste ,Day
01-02-2021,552.300,55.200,6.600,614.100,29.245,Monday
02-02-2021,543.375,52.270,13.055,608.700,28.920,Tuesday
03-02-2021,526.965,53.205,10.780,590.950,31.100,Wednesday
04-02-2021,532.745,53.550,16.580,602.875,34.815,Thursday
05-02-2021,534.260,58.375,7.675,600.310,28.845,Friday
06-02-2021,539.265,56.620,7.265,603.150,38.630,Saturday
07-02-2021,531.065,56.010,10.040,597.115,28.025,Sunday
08-02-2021,549.055,53.310,9.510,611.875,31.235,Monday
09-02-2021,520.185,57.445,12.290,589.920,35.930,Tuesday
10-02-2021,514.730,56.495,7.915,579.140,35.975,Wednesday
11-02-2021,520.155,56.370,7.120,583.645,36.005,Thursday
12-02-2021,517.800,58.180,12.415,588.395,35.265,Friday
13-02-2021,520.660,44.815,11.680,577.155,35.940,Saturday
14-02-2021,522.600,54.435,9.460,586.495,29.165,Sunday
15-02-2021,553.630,51.175,10.165,614.970,27.330,Monday
16-02-2021,540.590,56.085,2.880,599.555,31.185,Tuesday
17-02-2021,551.345,57.200,5.260,613.805,20.935,Wednesday
18-02-2021,550.650,59.390,3.435,613.475,28.700,Thursday
19-02-2021,557.155,64.250,8.990,630.395,32.695,Friday
20-02-2021,568.550,51.670,1.265,621.485,33.930,Saturday
21-02-2021,528.760,55.600,9.825,594.185,27.465,Sunday
22-02-2021,548.855,56.105,1.565,606.525,28.460,Monday
23-02-2021,549.075,58.700,10.105,617.880,32.945,Tuesday
24-02-2021,541.030,54.925,9.325,605.280,25.795,Wednesday
25-02-2021,540.120,56.235,12.315,608.670,27.765,Thursday
26-02-2021,523.675,52.110,12.380,588.165,24.550,Friday
27-02-2021,531.065,53.960,11.070,596.095,26.850,Saturday
28-02-2021,538.820,54.130,7.850,600.800,29.270,Sunday
01-03-2021,577.915,56.865,8.665,643.445,38.475,Monday
02-03-2021,551.785,52.650,9.700,614.135,29.790,Tuesday
03-03-2021,549.780,57.970,10.600,618.350,34.955,Wednesday
04-03-2021,552.975,61.955,11.940,626.870,32.855,Thursday
05-03-2021,542.550,59.580,6.805,608.935,31.180,Friday
06-03-2021,553.555,58.400,9.170,621.125,36.400,Saturday
07-03-2021,553.915,47.455,6.885,608.255,28.800,Sunday
08-03-2021,558.960,49.725,10.520,619.205,38.475,Monday
09-03-2021,562.165,52.730,9.875,624.770,36.990,Tuesday
10-03-2021,545.595,53.335,8.955,607.885,31.070,Wednesday
11-03-2021,542.770,57.820,9.475,610.065,34.620,Thursday
12-03-2021,562.155,58.620,7.130,627.905,31.920,Friday
13-03-2021,566.130,60.415,9.650,635.910,32.230,Saturday
14-03-2021,565.845,57.950,8.010,623.585,35.735,Sunday
15-03-2021,557.625,54.090,5.240,599.840,30.695,Monday
16-03-2021,540.510,52.725,8.645,607.670,23.820,Tuesday
17-03-2021,546.300,53.575,11.200,597.215,27.685,Wednesday
18-03-2021,532.440,55.950,10.975,614.375,31.565,Thursday
19-03-2021,547.450,58.320,9.430,601.760,25.595,Friday
20-03-2021,534.010,59.165,10.305,619.480,34.755,Saturday
21-03-2021,550.010,61.685,8.150,637.765,27.715,Sunday
22-03-2021,567.930,57.890,10.565,619.790,38.680,Monday
23-03-2021,551.335,54.700,7.890,614.355,31.985,Tuesday
24-03-2021,551.765,63.570,10.140,623.915,35.030,Wednesday
25-03-2021,550.205,61.305,9.660,592.880,32.895,Thursday
26-03-2021,521.915,59.665,8.400,603.645,33.070,Friday
27-03-2021,535.580,63.195,8.215,602.215,35.055,Saturday
28-03-2021,530.805,61.950,6.015,589.835,28.805,Sunday
29-03-2021,521.870,60.950,7.020,595.935,31.400,Monday
30-03-2021,527.965,55.925,8.675,611.615,34.570,Tuesday
31-03-2021,547.015,49.440,9.825,606.280,32.220,Wednesday
01-04-2021,533.450,58.130,8.915,600.495,24.545,Thursday
02-04-2021,535.940,58.140,8.455,602.535,31.110,Friday
03-04-2021,554.080,56.025,3.210,613.315,32.200,Saturday
04-04-2021,554.075,63.415,5.385,622.875,35.325,Sunday
05-04-2021,563.260,57.385,9.900,630.545,32.715,Monday
06-04-2021,533.955,55.140,9.520,598.615,37.305,Tuesday
07-04-2021,523.780,58.015,9.895,591.690,35.110,Wednesday
08-04-2021,532.210,58.225,8.870,599.305,33.415,Thursday
09-04-2021,532.350,54.745,11.480,598.575,35.490,Friday
10-04-2021,535.400,56.890,6.355,598.645,36.005,Saturday
11-04-2021,516.985,57.200,0.290,574.475,32.440,Sunday
12-04-2021,521.100,52.925,1.820,575.845,39.460,Monday
13-04-2021,523.525,51.270,3.905,578.700,31.200,Tuesday
14-04-2021,522.650,48.885,0.420,571.955,32.855,Wednesday
15-04-2021,577.640,56.030,4.590,638.260,31.730,Thursday
16-04-2021,560.425,57.525,2.865,620.815,30.945,Friday
17-04-2021,541.635,57.930,11.465,611.030,34.255,Saturday
